Name,Institution,City,County,Enrollment,Founded
"California State Polytechnic University, Humboldt",CSU,Arcata,Humboldt,6025,1913
"California State University, Bakersfield",CSU,Bakersfield,Kern,9613,1965
"University of California, Berkeley",UC,Berkeley,Alameda,45307,1869
California State University Channel Islands,CSU,Camarillo,Ventura,6128,2002
"California State University, Dominguez Hills",CSU,Carson,Los Angeles,16426,1960
"California State University, Chico",CSU,Chico,Butte,14183,1887
"University of California, Davis",UC,Davis,Yolo,39679,1905
"California State University, Fresno",CSU,Fresno,Fresno,23999,1911
"California State University, Fullerton",CSU,Fullerton,Orange,40386,1957
"California State University, East Bay",CSU,Hayward,Alameda,13673,1957
"University of California, Irvine",UC,Irvine,Orange,35937,1965
"California State University, Long Beach",CSU,Long Beach,Los Angeles,38973,1949
"University of California, Los Angeles",UC,Los Angeles,Los Angeles,46430,1882
"California State University, Los Angeles",CSU,Los Angeles,Los Angeles,26460,1947
"University of California, Merced",UC,Merced,Merced,9110,2005
"California State University, Northridge",CSU,Northridge,Los Angeles,37579,1958
"California State Polytechnic University, Pomona",CSU,Pomona,Los Angeles,27503,1938
"University of California, Riverside",UC,Riverside,Riverside,26809,1954
Sonoma State University,CSU,Rohnert Park,Sonoma,6637,1960
"California State University, Sacramento",CSU,Sacramento,Sacramento,31818,1947
"California State University, San Bernardino",CSU,San Bernardino,San Bernardino,19803,1965
"University of California, San Diego",UC,San Diego,San Diego,42006,1960
San Diego State University,CSU,San Diego,San Diego,37402,1897
San Francisco State University,CSU,San Francisco,San Francisco,25282,1899
San Jose State University,CSU,San Jose,Santa Clara,35751,1857
"California Polytechnic State University, San Luis Obispo",CSU,San Luis Obispo,San Luis Obispo,22000,1901
California State University San Marcos,CSU,San Marcos,San Diego,15109,1988
"University of California, Santa Barbara",UC,Santa Barbara,Santa Barbara,26420,1891
"University of California, Santa Cruz",UC,Santa Cruz,Santa Cruz,19478,1965
"California State University, Monterey Bay",CSU,Seaside-Marina,Monterey,7045,1994
"California State University, Stanislaus",CSU,Turlock,Stanislaus,10154,1957
California State University Maritime Academy,CSU,Vallejo,Solano,1017,1929